=== TBS ===
Tatal ap jobs: 127
clock 399: T10, server deadline:501
clock 400: T10, server deadline:501
clock 401: T10, server deadline:501
clock 402: T10, server deadline:501
clock 403: T10, server deadline:501
clock 404: T10, server deadline:501
clock 405: T3, server deadline:501
clock 406: T10, server deadline:501
clock 407: T10, server deadline:501
clock 408: T10, server deadline:501
clock 409: T10, server deadline:501
clock 410: T10, server deadline:501
clock 411: T10, server deadline:501
clock 412: T10, server deadline:501
clock 413: T10, server deadline:501
clock 414: TA21, server deadline:501
clock 415: TA21, server deadline:501
clock 416: TA21, server deadline:501
clock 417: TA21, server deadline:501
clock 418: TA21, server deadline:501
TA21 finishs: 195 ~ 419
Current total_response_time: 1937
For TA22, New deadline: 501 + 30 = 531
clock 419: TA22, server deadline:531
clock 420: T3, server deadline:531
clock 421: TA22, server deadline:531
clock 422: TA22, server deadline:531
clock 423: TA22, server deadline:531
clock 424: TA22, server deadline:531
clock 425: TA22, server deadline:531
TA22 finishs: 208 ~ 426
Current total_response_time: 2155
For TA23, New deadline: 531 + 50 = 581
clock 426: T9, server deadline:581
clock 427: T9, server deadline:581
clock 428: T9, server deadline:581
clock 429: T9, server deadline:581
clock 430: T9, server deadline:581
clock 431: T9, server deadline:581
clock 432: T6, server deadline:581
clock 433: T6, server deadline:581
clock 434: T6, server deadline:581
clock 435: T3, server deadline:581
clock 436: T6, server deadline:581
clock 437: T9, server deadline:581
clock 438: T9, server deadline:581
clock 439: T9, server deadline:581
clock 440: T9, server deadline:581
clock 441: T4, server deadline:581
clock 442: T4, server deadline:581
clock 443: T4, server deadline:581
clock 444: T2, server deadline:581
clock 445: T2, server deadline:581
clock 446: T2, server deadline:581
clock 447: T2, server deadline:581
clock 448: T2, server deadline:581
clock 449: T2, server deadline:581
clock 450: T3, server deadline:581
clock 451: T2, server deadline:581
clock 452: T4, server deadline:581
clock 453: T4, server deadline:581
clock 454: T4, server deadline:581
clock 455: T4, server deadline:581
clock 456: T4, server deadline:581
clock 457: T4, server deadline:581
clock 458: T4, server deadline:581
clock 459: T4, server deadline:581
clock 460: T4, server deadline:581
clock 461: T4, server deadline:581
clock 462: T4, server deadline:581
clock 463: T4, server deadline:581
clock 464: T4, server deadline:581
clock 465: T3, server deadline:581
clock 466: T4, server deadline:581
clock 467: T4, server deadline:581
clock 468: T4, server deadline:581
clock 469: T4, server deadline:581
clock 470: T4, server deadline:581
clock 471: T4, server deadline:581
clock 472: T5, server deadline:581
clock 473: T5, server deadline:581
clock 474: T5, server deadline:581
clock 475: T5, server deadline:581
clock 476: T5, server deadline:581
clock 477: TA23, server deadline:581
clock 478: TA23, server deadline:581
clock 479: TA23, server deadline:581
clock 480: T3, server deadline:581
clock 481: T6, server deadline:581
clock 482: T6, server deadline:581
clock 483: T6, server deadline:581
clock 484: T6, server deadline:581
clock 485: T7, server deadline:581
clock 486: T7, server deadline:581
clock 487: T7, server deadline:581
clock 488: T7, server deadline:581
clock 489: TA23, server deadline:581
clock 490: TA23, server deadline:581
clock 491: TA23, server deadline:581
clock 492: TA23, server deadline:581
clock 493: TA23, server deadline:581
clock 494: TA23, server deadline:581
clock 495: T3, server deadline:581
clock 496: TA23, server deadline:581
TA23 finishs: 208 ~ 497
Current total_response_time: 2444
For TA24, New deadline: 581 + 30 = 611
clock 497: T8, server deadline:611
clock 498: T8, server deadline:611
clock 499: T8, server deadline:611
clock 500: T8, server deadline:611
clock 501: T8, server deadline:611
clock 502: T8, server deadline:611
clock 503: T8, server deadline:611
clock 504: T8, server deadline:611
clock 505: T8, server deadline:611
clock 506: T8, server deadline:611
clock 507: T8, server deadline:611
clock 508: T8, server deadline:611
clock 509: T8, server deadline:611
clock 510: T3, server deadline:611
clock 511: T8, server deadline:611
clock 512: T8, server deadline:611
clock 513: T8, server deadline:611
clock 514: T8, server deadline:611
clock 515: T8, server deadline:611
clock 516: T8, server deadline:611
clock 517: T8, server deadline:611
clock 518: T8, server deadline:611
clock 519: T8, server deadline:611
clock 520: T8, server deadline:611
clock 521: T8, server deadline:611
clock 522: T2, server deadline:611
clock 523: T2, server deadline:611
clock 524: T2, server deadline:611
clock 525: T3, server deadline:611
clock 526: T2, server deadline:611
clock 527: T2, server deadline:611
clock 528: T6, server deadline:611
clock 529: T6, server deadline:611
clock 530: T6, server deadline:611
clock 531: T6, server deadline:611
clock 532: T2, server deadline:611
clock 533: T2, server deadline:611
clock 534: T1, server deadline:611
clock 535: T1, server deadline:611
clock 536: T1, server deadline:611
clock 537: T1, server deadline:611
clock 538: T1, server deadline:611
clock 539: T1, server deadline:611
clock 540: T3, server deadline:611
clock 541: T1, server deadline:611
clock 542: T1, server deadline:611
clock 543: T1, server deadline:611
clock 544: T1, server deadline:611
clock 545: T1, server deadline:611
clock 546: T1, server deadline:611
